session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
60e45d26cf9fac8ae1d025b1,5ee203383bca392522122335,APPROVED,2021-07-06 13:39:53.160000,2021-07-06 13:59:22.406000,1169.246,27,39,2,97,2021-07-06 14:49:48.864000,NOCODE,Nepal,Portugal,DATA EXPIRED,Nepali,"Nepali, Hindi, English",Nepal,Female,DATA EXPIRED
60e45e24dcfc8e75b44462d8,5f04afb28d2c1876addd4128,APPROVED,2021-07-06 13:44:07.466000,2021-07-06 14:08:45.336000,1477.87,22,53,1,100,2021-07-06 14:49:49.904000,NOCODE,Poland,Poland,Part-Time,Polish,"English, Polish",Poland,Male,Yes
60e45e40a9061536419022ba,60df874baf06cbf296adbea4,APPROVED,2021-07-06 13:46:16.405000,2021-07-06 14:09:07.275000,1370.87,25,37,1,100,2021-07-06 14:49:51.085000,NOCODE,South Africa,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Female,No
60e45efbec2e4b66640c8a24,5f6a6c8f1e4b0d132a95ebf2,APPROVED,2021-07-06 13:47:39.420000,2021-07-06 14:05:15.564000,1056.144,19,28,0,100,2021-07-06 14:49:52.062000,1A79B39E,Estonia,Estonia,DATA EXPIRED,Estonian,"English, Estonian",Estonia,Female,DATA EXPIRED
60e45f03a6945c2b7afdde26,60e456bdf5fd319cd3d20739,APPROVED,2021-07-06 13:47:51.633000,2021-07-06 14:12:23.702000,1472.069,24,28,0,100,2021-07-06 14:49:53.179000,NOCODE,France,France,Full-Time,French,"English, French",France,Female,No
60e45f099679733fbebdb610,5ea9ad841801790dcc4588f1,RETURNED,2021-07-06 13:47:56.792000,,11337595.991566,23,7,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e45f43b573132937f4aaba,60e4544780400dbbc81217a5,APPROVED,2021-07-06 13:49:04.194000,2021-07-06 14:01:00.009000,715.815,29,33,1,99,2021-07-06 14:49:54.395000,1A79B39E,Ireland,Ireland,Full-Time,English,"Gaelic, English",Ireland,Female,No
60e45f7dc08292502b975daa,5f3d7521432eaa136ab11d3e,APPROVED,2021-07-06 13:50:00.008000,2021-07-06 14:14:59.345000,1499.337,20,38,0,100,2021-07-06 14:49:55.349000,1A79B39E,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Portugal,Male,Yes
60e45f83aa9b7ea50a2e771a,5ebda993ceff5c0d8dcf1a83,RETURNED,2021-07-06 14:00:02.084000,,11336870.751267,21,49,2,96,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
60e45f98568e67a06e76f4f0,60d78af44c8f71df2e16f20f,APPROVED,2021-07-06 13:50:23.469000,2021-07-06 14:52:02.670000,3699.201,22,14,1,95,2021-07-06 16:07:10.926000,NOCODE,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Female,Yes
