session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status,
60e5a455a66e612e28221591,603e60ab4df9d7eabba47ecb,APPROVED,55:52.3,12:00.1,967.801,23,14,0,100,04:25.7,1A79B39E,Portugal,Portugal,Other,Portuguese,"English, Portuguese, Spanish",Portugal,Male,Yes,1
60e5a46c88e40a1e5f081ca8,60e4dedc0c90dbc1c5787d99,APPROVED,56:15.6,16:17.6,1201.963,21,32,0,100,04:26.6,1A79B39E,United Kingdom,United Kingdom,Part-Time,English,English,United Kingdom,Male,No,1
60e5a778bb1a3f10e6b3defb,60e5921620f6d6d6b16c7334,APPROVED,09:17.6,38:09.3,1731.699,20,7,1,87,04:27.6,1A79B39E,Hungary,France,Other,Hungarian,"English, Hungarian",Hungary,Female,Yes,0
60e5a8a5a3f20099f3dd753e,5eef8f514537cd28884ba21a,TIMED-OUT,14:15.1,,11253285.78,23,57,2,99,,,Slovenia,Slovenia,Other,Slovenian,"Croatian, English, Slovenian, Spanish",Slovenia,Male,Yes,1
60e5a902f535ff98f1ff9e70,587291591c35f20001955c45,APPROVED,17:48.3,39:41.2,1312.826,41,410,1,100,04:28.7,1A79B39E,Israel,Germany,"Not in paid work (e.g. homemaker', 'retired or disabled)",Hebrew,"English, Hebrew",Israel,Female,No,0
60e5a91b3d95cdbfa40b1c8b,5c64cb0e0b253e00012ddfdb,APPROVED,16:13.2,37:35.3,1282.023,26,75,0,100,04:30.6,1A79B39E,Belgium,Belgium,Other,DATA EXPIRED,"French, Italian, English",DATA EXPIRED,Female,Yes,0
60e5a975759166a5db82ae0c,5fd906eacffa3b3645020a8e,APPROVED,17:44.2,44:46.9,1622.689,22,20,0,100,04:31.7,1A79B39E,Portugal,Portugal,Other,Portuguese,"Portuguese, Spanish, English",Portugal,Male,Yes,1
60e5a9980f7cc0004b91fdf3,60e4e2669d7efce16a1d7540,APPROVED,18:22.0,39:12.9,1250.918,23,36,0,100,04:32.6,1A79B39E,South Africa,South Africa,Other,DATA EXPIRED,"Afrikaans, Dutch, English",South Africa,Female,Yes,0
60e5a99e55779f663db28a96,60e1bc430d56060825b5ad03,APPROVED,18:26.2,43:13.4,1487.147,29,7,1,94,04:33.8,1A79B39E,DATA EXPIRED,South Africa,DATA EXPIRED,DATA EXPIRED,English,South Africa,Male,DATA EXPIRED,1
60e5aa437b32523664c0bc28,60e3b18d3d4205b4c52ada56,APPROVED,22:05.9,54:38.1,1952.135,22,12,1,98,04:34.7,1A79B39E,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Female,No,0
60e5aabb507eeb827c924690,60dba2d3c9b4855731ce583a,APPROVED,23:11.0,11:19.6,2888.644,30,52,0,100,04:35.9,NOCODE,South Africa,South Africa,Full-Time,Afrikaans,"Afrikaans, English",South Africa,Male,No,1
60e5aacbcdf4a3c4285216f1,60e55fe9be3c26a30d44d4b6,APPROVED,24:11.4,47:14.2,1382.791,46,23,0,100,04:37.8,1A79B39E,South Africa,South Africa,Other,DATA EXPIRED,English,South Africa,Male,No,1
60e5aafb253af04721c065b9,5cf659275d8896000159db7f,APPROVED,24:14.7,41:19.5,1024.75,28,106,0,100,04:38.7,1A79B39E,Hungary,Hungary,DATA EXPIRED,Hungarian,"Hungarian, English",Hungary,Male,DATA EXPIRED,1
60e5ab202bb3b96d2a69625c,60da68513192cd824b1babd4,APPROVED,25:12.1,43:46.0,1113.952,20,20,0,100,04:39.8,1A79B39E,Congo the Democratic Republic of the,South Africa,Due to start a new job within the next month,DATA EXPIRED,English,Congo the Democratic Republic of the,Female,Yes,0
60e5ab5eade9b309bb5a33aa,60e1d72a4abcf4b0899afd30,APPROVED,25:53.1,49:18.3,1405.211,20,22,0,100,04:41.0,1A79B39E,Portugal,Portugal,Unemployed (and job seeking),Portuguese,"English, Portuguese",Portugal,Male,Yes,1
60e5abd4d4d5e1c36a811123,60e2f470553183d542620b02,APPROVED,27:52.6,49:10.4,1277.817,27,30,0,100,04:41.9,1A79B39E,South Africa,South Africa,Part-Time,DATA EXPIRED,English,South Africa,Female,Yes,0
60e5abfd996badb78fe67089,59614e6887bef300013a4bb1,APPROVED,28:32.3,43:52.2,919.862,41,512,0,100,04:43.0,1A79B39E,United Kingdom,United Kingdom,Unemployed (and job seeking),English,"English, Scots",United Kingdom,Male,No,1
60e5ac32bdc194f438013112,60e422080774ad3451f13d57,APPROVED,29:31.6,57:13.9,1662.267,25,24,0,100,04:44.8,1A79B39E,South Africa,South Africa,Unemployed (and job seeking),DATA EXPIRED,English,South Africa,Male,No,1
60e5ac4634d2c532523eb23f,60decee58912b14b25d22d04,APPROVED,29:54.5,01:51.8,1917.318,41,40,2,95,04:46.1,1A79B39E,South Africa,South Africa,Full-Time,DATA EXPIRED,English,South Africa,Female,No,0
60e5ac67aac3feee644ce4c9,5eb1d6161161e61340421866,APPROVED,30:42.6,56:17.4,1534.805,59,42,1,100,04:47.0,1A79B39E,Portugal,Portugal,DATA EXPIRED,Portuguese,"Portuguese, English",Portugal,Female,DATA EXPIRED,0
60e5ad4b80b85772bf575012,5cba2f92e9cbcb0001f64440,APPROVED,34:08.0,52:06.3,1078.309,21,45,1,100,04:48.2,1A79B39E,Portugal,Portugal,Part-Time,Portuguese,"Spanish, Portuguese, French, English",Portugal,Female,Yes,0
60e5ad57253af04721c065e8,577cc873092b09000179c3e6,APPROVED,34:15.3,29:02.3,3287,28,345,0,100,04:49.1,1A79B39E,Greece,Greece,DATA EXPIRED,Greek,"English, Greek",Greece,Male,DATA EXPIRED,1
